"","name","input.size.1","input.size.2","start","duration","size","throughput","device","context","stream"
"87","[CUDA memcpy HtoD]",16384,0,4.961758,0.00018186,1.062565,5.705823,"Tesla K20c (0)",1,7
"89","[CUDA memcpy DtoH]",16384,0,4.962036,1.2704e-05,0.062504,4.804698,"Tesla K20c (0)",1,7
"90","[CUDA memcpy DtoH]",16384,0,4.962086,0.0001713,1.062565,6.057566,"Tesla K20c (0)",1,7
"91","[CUDA memcpy HtoD]",17408,0,4.983877,1.424e-05,0.06641,4.554324,"Tesla K20c (0)",1,7
"92","[CUDA memcpy HtoD]",17408,0,4.984194,0.000193765,1.128971,5.689938,"Tesla K20c (0)",1,7
"94","[CUDA memcpy DtoH]",17408,0,4.98447,1.3024e-05,0.066406,4.979258,"Tesla K20c (0)",1,7
"95","[CUDA memcpy HtoD]",17408,0,4.98484,1.344e-06,6.484985e-05,0.04712,"Tesla K20c (0)",1,7
"96","[CUDA memcpy HtoD]",17408,0,4.985149,0.000193541,1.128971,5.696523,"Tesla K20c (0)",1,7
"97","[CUDA memcpy HtoD]",17408,0,4.985629,0.000193381,1.128971,5.701237,"Tesla K20c (0)",1,7
"99","[CUDA memcpy DtoH]",17408,0,4.985925,1.328e-05,0.06641,4.883553,"Tesla K20c (0)",1,7
"100","[CUDA memcpy DtoH]",17408,0,4.98598,0.000182276,1.128971,6.048579,"Tesla K20c (0)",1,7
"101","[CUDA memcpy HtoD]",18432,0,4.851573,1.4752e-05,0.070316,4.654845,"Tesla K20c (0)",1,7
"102","[CUDA memcpy HtoD]",18432,0,4.851892,0.000204261,1.195377,5.715044,"Tesla K20c (0)",1,7
"104","[CUDA memcpy DtoH]",18432,0,4.852182,1.376e-05,0.070312,4.990156,"Tesla K20c (0)",1,7
"105","[CUDA memcpy HtoD]",18432,0,4.852547,1.376e-06,6.484985e-05,0.046025,"Tesla K20c (0)",1,7
"106","[CUDA memcpy HtoD]",18432,0,4.852855,0.000204101,1.195377,5.719525,"Tesla K20c (0)",1,7
"107","[CUDA memcpy HtoD]",18432,0,4.85334,0.000204133,1.195377,5.718628,"Tesla K20c (0)",1,7
"109","[CUDA memcpy DtoH]",18432,0,4.853652,1.3792e-05,0.070316,4.978848,"Tesla K20c (0)",1,7
"110","[CUDA memcpy DtoH]",18432,0,4.853707,0.000192228,1.195377,6.072792,"Tesla K20c (0)",1,7
"111","[CUDA memcpy HtoD]",19456,0,5.007398,1.5584e-05,0.074223,4.651115,"Tesla K20c (0)",1,7
"112","[CUDA memcpy HtoD]",19456,0,5.007981,0.000218022,1.261784,5.651772,"Tesla K20c (0)",1,7
"114","[CUDA memcpy DtoH]",19456,0,5.008287,1.4496e-05,0.074219,4.999948,"Tesla K20c (0)",1,7
"115","[CUDA memcpy HtoD]",19456,0,5.008678,1.376e-06,6.484985e-05,0.046025,"Tesla K20c (0)",1,7
"116","[CUDA memcpy HtoD]",19456,0,5.009251,0.00021799,1.261784,5.652601,"Tesla K20c (0)",1,7
"117","[CUDA memcpy HtoD]",19456,0,5.009754,0.000217926,1.261784,5.654261,"Tesla K20c (0)",1,7
