"","input.size.1","input.size.2","duration","grid.X","grid.y","block.x","block.y","registers.per.thread","static.smem","kernel","elapsed_cycles_sm","gld_inst_32bit","gst_inst_32bit","warps_launched","inst_executed","inst_issued1","shared_load","shared_store","gld_request","gst_request","active_cycles","active_warps","sm_cta_launched","multiprocessor_activity","executed_ipc","achieved_occupancy","requested_global_load_throughput","requested_global_store_throughput","device_memory_read_throughput","device_memory_write_throughput","global_store_throughput","global_load_throughput","shared_memory_efficiency","global_memory_load_efficiency","global_memory_store_efficiency","issued_ipc","instructions_per_warp","issue_slot_utilization","shared_memory_load_transactions_per_request","shared_memory_store_transactions_per_request","global_load_transactions_per_request","global_store_transactions_per_request","shared_load_transactions","shared_store_transactions","global_load_transactions","global_store_transactions","device_memory_read_transactions","l2_read_transactions","l2_write_transactions","shared_memory_load_throughput","shared_memory_store_throughput","l2_throughput_.reads.","l2_throughput_.writes.","issued_control.flow_instructions","executed_control.flow_instructions","issued_load.store_instructions","executed_load.store_instructions","floating_point_operations.single_precision.","floating_point_operations.single_precision_add.","floating_point_operations.double_precision.","floating_point_operations.double_precision_add.","floating_point_operations.double_precision_mul.","floating_point_operations.double_precison_fma.","floating_point_operations.single_precision_special.","l1.shared_memory_utilization","device_memory_utilization","control.flow_function_unit_utilization","issue_slots","fp_instructions.single.","fp_instructions.double.","integer_instructions","control.flow_instructions","load.store_instructions","misc_instructions","ecc_transactions","ecc_throughput","flop_efficiency.peak_single.","flop_efficiency.peak_double.","eligible_warps_per_active_cycle"
"293",37888,0,0.000543,1,2368,16,16,18,1.0625,1,2176344,644096,644096,18944,5053312,4376576,127872,92352,37888,37888,2160765,135309442,2368,99.20945,2.341149,0.979526,4.603613,4.603613,4.697559,4.772006,6.499218,6.770019,59.677419,68,70.833333,2.339267,266.75,54.563187,1,1,5.75,3,127872,92352,217856,113664,82155,118480,113670,29.246483,21.12246,6.774594,6.499562,300736,300736,655936,504384,3599360,568320,0,0,0,0,4849664,2,2,1,4715200,15723520,0,72252416,7274496,5493760,16973824,0,0,0.646038,0,2.928509
"303",38912,0,0.000558,1,2432,16,16,18,1.0625,1,2234012,661504,661504,19456,5189888,4494848,131328,94848,38912,38912,2217452,139074884,2432,99.283266,2.341491,0.979788,4.604643,4.604643,4.706439,4.741689,6.500673,6.771534,59.677419,68,70.833333,2.338804,266.75,54.552386,1,1,5.75,3,131328,94848,223744,116736,84516,121680,116742,29.253026,21.127186,6.775989,6.501007,308864,308864,673664,518016,3696640,583680,0,0,0,0,4980736,2,2,1,4842624,16148480,0,74205184,7471104,5642240,17432576,0,0,0.646371,0,2.926061
"313",39936,0,0.000573,1,2496,16,16,18,1.0625,1,2292096,678912,678912,19968,5326464,4613120,134784,97344,39936,39936,2274821,142704600,2496,99.265931,2.342017,0.979799,4.60257,4.60257,4.707243,4.811536,6.497746,6.768485,59.677419,68,70.833333,2.341712,266.75,54.62021,1,1,5.75,3,134784,97344,229632,119808,86794,124824,119814,29.239855,21.117673,6.769787,6.498071,316992,316992,691392,531648,3793920,599040,0,0,0,0,5111808,2,2,1,4970048,16573440,0,76157952,7667712,5790720,17891328,0,0,0.64657,0,2.931247
"323",40960,0,0.000587,1,2560,16,16,18,1.0625,1,2350368,696320,696320,20480,5463040,4731392,138240,99840,40960,40960,2331901,146292914,2560,99.329977,2.339921,0.979753,4.622615,4.622615,4.738871,4.793201,6.526044,6.797963,59.677419,68,70.833333,2.340232,266.75,54.585671,1,1,5.75,3,138240,99840,235520,122880,89229,128024,122886,29.3672,21.209644,6.799238,6.526363,325120,325120,709120,545280,3891200,614400,0,0,0,0,5242880,2,2,1,5097472,16998400,0,78110720,7864320,5939200,18350080,0,0,0.646707,0,2.928359
"333",41984,0,0.000602,1,2624,16,16,18,1.0625,1,2405724,713728,713728,20992,5599616,4849664,141696,102336,41984,41984,2390949,150068264,2624,99.328178,2.341497,0.980074,4.628061,4.628061,4.740785,4.903308,6.533733,6.805972,59.677419,68,70.833333,2.341569,266.75,54.616863,1,1,5.75,3,141696,102336,241408,125952,91389,131280,125958,29.401797,21.234631,6.810122,6.534044,333248,333248,726848,558912,3988480,629760,0,0,0,0,5373952,2,2,1,5224896,17423360,0,80063488,8060928,6087680,18808832,0,0,0.647622,0,2.930689
"343",43008,0,0.000616,1,2688,16,16,18,1.0625,1,2462556,731136,731136,21504,5736192,4967936,145152,104832,43008,43008,2446723,153617812,2688,99.372418,2.33781,0.980204,4.607902,4.607902,4.722303,4.799444,6.505273,6.776326,59.677419,68,70.833333,2.344648,266.75,54.688659,1,1,5.75,3,145152,104832,247296,129024,93661,134424,129030,29.273729,21.142137,6.777536,6.505576,341376,341376,744576,572544,4085760,645120,0,0,0,0,5505024,2,2,1,5352320,17848320,0,82016256,8257536,6236160,19267584,0,0,0.648107,0,2.936341
"353",44032,0,0.000631,1,2752,16,16,18,1.0625,1,2523420,748544,748544,22016,5872768,5086208,148608,107328,44032,44032,2507370,157272634,2752,99.394744,2.339927,0.979843,4.642203,4.642203,4.755619,4.801362,6.553699,6.82677,59.677419,68,70.833333,2.343482,266.75,54.661464,1,1,5.75,3,148608,107328,253184,132096,95854,137684,132102,29.491645,21.299521,6.830937,6.553997,349504,349504,762304,586176,4183040,660480,0,0,0,0,5636096,2,2,1,5479744,18273280,0,83969024,8454144,6384640,19726336,0,0,0.647534,0,2.933062
"363",45056,0,0.000646,1,2816,16,16,18,1.0625,1,2582556,765952,765952,22528,6009344,5204480,152064,109824,45056,45056,2567622,160938728,2816,99.317215,2.340522,0.979944,4.608231,4.608231,4.73751,4.855479,6.505738,6.77681,59.677419,68,70.833333,2.342605,266.75,54.640982,1,1,5.75,3,152064,109824,259072,135168,98430,141068,135174,29.27582,21.143648,6.789709,6.506027,357632,357632,780032,599808,4280320,675840,0,0,0,0,5767168,2,2,1,5607168,18698240,0,85921792,8650752,6533120,20185088,0,0,0.647421,0,2.9333
"373",46080,0,0.00066,1,2880,16,16,18,1.0625,1,2642464,783360,783360,23040,6145920,5322752,155520,112320,46080,46080,2624953,164577482,2880,99.302753,2.341345,0.980132,5.165581,5.165581,5.321572,5.332861,7.292585,7.596443,59.677419,68,70.833333,2.340768,266.75,54.598127,1,1,5.75,3,155520,112320,264960,138240,100877,144080,138246,32.816633,23.700902,7.600663,7.292902,365760,365760,797760,613440,4377600,691200,0,0,0,0,5898240,2,2,1,5734592,19123200,0,87874560,8847360,6681600,20643840,0,0,0.647123,0,2.931095
"383",47104,0,0.000675,1,2944,16,16,18,1.0625,1,2703552,800768,800768,23552,6282496,5441024,158976,114816,47104,47104,2683141,168346256,2944,99.428404,2.34221,0.980467,4.609108,4.609108,4.7519,4.800894,6.506976,6.7781,59.677419,68,70.833333,2.339995,266.75,54.580098,1,1,5.75,3,158976,114816,270848,141312,103197,147280,141318,29.281394,21.147673,6.781784,6.507253,373888,373888,815488,627072,4474880,706560,0,0,0,0,6029312,2,2,1,5862016,19548160,0,89827328,9043968,6830080,21102592,0,0,0.646557,0,2.928519
