"","X","input.size.1","input.size.2","duration","grid.X","grid.y","block.x","block.y","registers.per.thread","static.smem","kernel","elapsed_cycles_sm","gld_inst_32bit","gst_inst_32bit","warps_launched","inst_executed","inst_issued1","shared_load","shared_store","gld_request","gst_request","active_cycles","active_warps","sm_cta_launched","multiprocessor_activity","executed_ipc","achieved_occupancy","requested_global_load_throughput","requested_global_store_throughput","device_memory_read_throughput","device_memory_write_throughput","global_store_throughput","global_load_throughput","shared_memory_efficiency","global_memory_load_efficiency","global_memory_store_efficiency","issued_ipc","instructions_per_warp","issue_slot_utilization","shared_memory_load_transactions_per_request","shared_memory_store_transactions_per_request","global_load_transactions_per_request","global_store_transactions_per_request","shared_load_transactions","shared_store_transactions","global_load_transactions","global_store_transactions","device_memory_read_transactions","l2_read_transactions","l2_write_transactions","shared_memory_load_throughput","shared_memory_store_throughput","l2_throughput_.reads.","l2_throughput_.writes.","issued_control.flow_instructions","executed_control.flow_instructions","issued_load.store_instructions","executed_load.store_instructions","floating_point_operations.single_precision.","floating_point_operations.single_precision_add.","floating_point_operations.double_precision.","floating_point_operations.double_precision_add.","floating_point_operations.double_precision_mul.","floating_point_operations.double_precison_fma.","floating_point_operations.single_precision_special.","l1.shared_memory_utilization","device_memory_utilization","control.flow_function_unit_utilization","issue_slots","fp_instructions.single.","fp_instructions.double.","integer_instructions","control.flow_instructions","load.store_instructions","misc_instructions","ecc_transactions","ecc_throughput","flop_efficiency.peak_single.","flop_efficiency.peak_double.","eligible_warps_per_active_cycle"
"32",318,39936,0,0.000213601,1,2496,16,16,21,0,2,1712394,4472912,1277984,19968,1038361,1993702,0,0,139781,39938,1684263,104722840,2496,98.198429,0.617505,0.969948,46.332013,22.463887,24.572636,25.651478,28.079999,65.988125,0,70.212653,79.999599,1.400589,52.001252,32.327834,0,0,1.446413,1.99995,0,0,202181,79874,174744,469477,199698,0,0,66.018217,28.081687,79872,79872,324206,212159,0,0,5750896,638992,2555936,1277984,0,1,3,1,2174427,0,4472912,11501648,1277936,5750896,4472848,0,0,0,20.989971,11.592722
"33",328,40960,0,0.000218497,1,2560,16,16,21,0,2,1760854,4587600,1310752,20480,1064985,2047840,0,0,143365,40962,1726340,107275036,2560,98.341543,0.615011,0.969492,46.369566,22.482097,24.59578,25.751417,28.102759,66.041607,0,70.212655,79.999609,1.39783,52.001221,32.255301,0,0,1.446413,1.999951,0,0,207365,81922,179248,481523,204814,0,0,66.072893,28.103857,81920,81920,332715,217564,0,0,5898352,655376,2621472,1310752,0,1,3,1,2234197,0,4587600,11796560,1310704,5898352,4587536,0,0,0,20.935694,11.494752
"34",338,41984,0,0.000225154,1,2624,16,16,21,0,2,1800760,4702288,1343520,20992,1091609,2096802,0,0,146949,41986,1771287,109762816,2624,98.201148,0.617298,0.970255,46.395125,22.494492,24.608123,25.758029,28.118249,66.078006,0,70.212658,79.999619,1.400669,52.001191,32.329955,0,0,1.446413,1.999952,0,0,212549,83970,183720,493539,209930,0,0,66.106402,28.118785,83968,83968,340702,223105,0,0,6045808,671760,2687008,1343520,0,1,3,1,2286849,0,4702288,12091472,1343472,6045808,4702224,0,0,0,20.983529,11.537986
"35",348,43008,0,0.000229857,1,2688,16,16,21,0,2,1846996,4816976,1376288,21504,1118233,2146785,0,0,150533,43010,1812939,112560842,2688,98.084241,0.617259,0.970977,46.43376,22.513227,24.626411,25.870006,28.141665,66.133031,0,70.212661,79.999628,1.399863,52.001163,32.310961,0,0,1.446414,1.999953,0,0,217733,86018,188184,505493,215052,0,0,66.150566,28.14245,86016,86016,349508,228468,0,0,6193264,688144,2752544,1376288,0,1,3,1,2341397,0,4816976,12386384,1376240,6193264,4816912,0,0,0,20.957219,11.339281
"36",358,44032,0,0.000235236,1,2752,16,16,21,0,2,1890634,4931664,1409056,22016,1144857,2200831,0,0,154117,44034,1857509,115366426,2752,98.345634,0.615728,0.97044,46.459292,22.525609,24.64501,25.840019,28.157139,66.169392,0,70.212663,79.999637,1.398266,52.001136,32.273984,0,0,1.446414,1.999955,0,0,222917,88066,192704,517621,220172,0,0,66.198807,28.157906,88064,88064,357693,234017,0,0,6340720,704528,2818080,1409056,0,1,3,1,2400353,0,4931664,12681296,1409008,6340720,4931600,0,0,0,20.960958,11.491664
"37",368,45056,0,0.000240417,1,2816,16,16,21,0,2,1927580,5046352,1441824,22528,1171481,2247850,0,0,157701,45058,1900003,117930344,2816,98.360691,0.617876,0.970593,46.47238,22.531957,24.649782,25.903849,28.165071,66.18803,0,70.212665,79.999645,1.40029,52.00111,32.323465,0,0,1.446414,1.999956,0,0,228101,90114,197168,529603,225288,0,0,66.210533,28.165321,90112,90112,366088,239578,0,0,6488176,720912,2883616,1441824,0,1,3,1,2451387,0,5046352,12976208,1441776,6488176,5046288,0,0,0,21.037311,11.530606
"38",378,46080,0,0.00024573,1,2880,16,16,21,0,2,1972528,5161040,1474592,23040,1198105,2303361,0,0,161285,46082,1938857,120612590,2880,98.486004,0.616733,0.971687,46.492141,22.541541,24.65721,25.819972,28.177048,66.216173,0,70.212668,79.999653,1.400743,52.001085,32.330179,0,0,1.446415,1.999957,0,0,233285,92162,201624,541555,230411,0,0,66.228402,28.177659,92160,92160,374819,244810,0,0,6635632,737296,2949152,1474592,0,1,3,1,2512267,0,5161040,13271120,1474544,6635632,5160976,0,0,0,21.025151,11.525195
"39",388,47104,0,0.000252034,1,2944,16,16,21,0,2,2016432,5275728,1507360,23552,1224729,2352528,0,0,164869,47106,1982415,123189330,2944,98.348023,0.617577,0.970954,46.493882,22.542387,24.658083,25.836647,28.178103,66.218649,0,70.21267,79.99966,1.401414,52.001061,32.346123,0,0,1.446415,1.999958,0,0,238469,94210,206104,553683,235535,0,0,66.242099,28.17918,94208,94208,382002,250136,0,0,6783088,753680,3014688,1507360,0,1,3,1,2565851,0,5275728,13566032,1507312,6783088,5275664,0,0,0,21.024413,11.526117
"40",398,48128,0,0.000256674,1,3008,16,16,21,0,2,2056294,5390416,1540128,24064,1251353,2402616,0,0,168453,48130,2027174,126289184,3008,98.521807,0.617678,0.972898,46.528455,22.559152,24.676372,25.841616,28.199057,66.267889,0,70.212672,79.999668,1.400608,52.001039,32.331983,0,0,1.446415,1.999958,0,0,243653,96258,210584,565721,240648,0,0,66.291559,28.199291,96256,96256,390834,255655,0,0,6930544,770064,3080224,1540128,0,1,3,1,2620052,0,5390416,13860944,1540080,6930544,5390352,0,0,0,21.065033,11.47806
"41",408,49152,0,0.000261825,1,3072,16,16,21,0,2,2105354,5505104,1572896,24576,1277977,2453379,0,0,172037,49154,2070822,128586118,3072,98.359801,0.617135,0.97243,46.526144,22.558033,24.67969,25.818537,28.197656,66.264595,0,70.212674,79.999674,1.399517,52.001017,32.303175,0,0,1.446416,1.999959,0,0,248837,98306,215104,577687,245766,0,0,66.280199,28.197656,98304,98304,399373,261077,0,0,7078000,786448,3145760,1572896,0,1,3,1,2675765,0,5505104,14155856,1572848,7078000,5505040,0,0,0,21.011906,11.498773
