"","Gpus","Kernels","Measured","Predicted","Accuracy","threshCorr","maxAccuracy","minAccuracy","sdAccuracy"
"152","Tesla-K20","hotspotOpt1",0.00174173173627476,0.00106415853389252,0.610977288711843,"0.25",12.6805236091107,0.302981154437057,2.39806105612266
"352","Tesla-K20","hotspotOpt1",0.00174245872856094,0.000921934711366526,0.529099884120604,"0.25",12.6805236091107,0.302981154437057,2.39806105612266
"112","Tesla-K20","hotspotOpt1",0.00174616084487159,0.00165565726016353,0.948169960989637,"0.25",12.6805236091107,0.302981154437057,2.39806105612266
"322","Tesla-K20","hotspotOpt1",0.00257680687325587,0.00252904511968027,0.981464752336971,"0.25",12.6805236091107,0.302981154437057,2.39806105612266
"72","Tesla-K20","hotspotOpt1",0.00258363410809047,0.00208599911267051,0.807389523980332,"0.25",12.6805236091107,0.302981154437057,2.39806105612266
"572","Tesla-K20","hotspotOpt1",0.00258207347103791,0.00437421916137558,1.69407230678734,"0.25",12.6805236091107,0.302981154437057,2.39806105612266
"452","Tesla-K20","hotspotOpt1",0.00398084814621501,0.00335485236510674,0.842748138558497,"0.25",12.6805236091107,0.302981154437057,2.39806105612266
"472","Tesla-K20","hotspotOpt1",0.00397417838171748,0.0503946627961859,12.6805236091107,"0.25",12.6805236091107,0.302981154437057,2.39806105612266
"182","Tesla-K20","hotspotOpt1",0.0025799014549806,0.00184801337416665,0.71631161360795,"0.25",12.6805236091107,0.302981154437057,2.39806105612266
"392","Tesla-K20","hotspotOpt1",0.00257898004297511,0.00170033631951359,0.659305729854381,"0.25",12.6805236091107,0.302981154437057,2.39806105612266
"552","Tesla-K20","hotspotOpt1",0.00258177292776414,0.00210714605939568,0.816162427274541,"0.25",12.6805236091107,0.302981154437057,2.39806105612266
"522","Tesla-K20","hotspotOpt1",0.00174504250347301,0.000846586306191112,0.485137929022487,"0.25",12.6805236091107,0.302981154437057,2.39806105612266
"122","Tesla-K20","hotspotOpt1",0.00174283948045835,0.00143693192584068,0.824477493166941,"0.25",12.6805236091107,0.302981154437057,2.39806105612266
"332","Tesla-K20","hotspotOpt1",0.00257710767278425,0.00106038926285322,0.411464865846136,"0.25",12.6805236091107,0.302981154437057,2.39806105612266
"162","Tesla-K20","hotspotOpt1",0.00258579504675675,0.00254397981445541,0.983828868280268,"0.25",12.6805236091107,0.302981154437057,2.39806105612266
"442","Tesla-K20","hotspotOpt1",0.002578039082428,0.00701043703632799,2.71929044214704,"0.25",12.6805236091107,0.302981154437057,2.39806105612266
"542","Tesla-K20","hotspotOpt1",0.00258796487118716,0.00521427615849741,2.01481720890033,"0.25",12.6805236091107,0.302981154437057,2.39806105612266
"113","Tesla-K20","hotspotOpt1",0.00258176323256196,0.0020833255091676,0.806939026356903,"0.25",12.6805236091107,0.302981154437057,2.39806105612266
"413","Tesla-K20","hotspotOpt1",0.00174430445497829,0.000889468667698195,0.509927418438696,"0.25",12.6805236091107,0.302981154437057,2.39806105612266
"342","Tesla-K20","hotspotOpt1",0.00398059201617376,0.0415541967952057,10.4392001557468,"0.25",12.6805236091107,0.302981154437057,2.39806105612266
"512","Tesla-K20","hotspotOpt1",0.00397854271310998,0.00166407016894822,0.418261230039035,"0.25",12.6805236091107,0.302981154437057,2.39806105612266
"272","Tesla-K20","hotspotOpt1",0.00258269389849122,0.000782507578922414,0.302981154437057,"0.25",12.6805236091107,0.302981154437057,2.39806105612266
"532","Tesla-K20","hotspotOpt1",0.00174099306685407,0.00187850756048685,1.07898623851574,"0.25",12.6805236091107,0.302981154437057,2.39806105612266
"313","Tesla-K20","hotspotOpt1",0.00174173173627476,0.00530343003594409,3.04491783980875,"0.25",12.6805236091107,0.302981154437057,2.39806105612266
"563","Quadro","hotspotOpt1",0.0028520283810647,7.6039186154961e-06,0.00266614409098462,"0.25",0.00409748361931924,0.00176333591555627,0.000825025745127752
