"","Gpus","Kernels","Measured","Predicted","Accuracy","threshCorr","NA","NA","NA"
"10217","Tesla-K40","Fan2",0.00970338528107948,0.011312373317192,1.16581718539507,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"25226","Tesla-K40","Fan2",0.017037399591567,0.0191986419490036,1.12685283019989,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"28505","Tesla-K40","Fan2",0.021352712017186,0.0241185986642404,1.12953327169065,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"30708","Tesla-K40","Fan2",0.0289513615228013,0.0330011095272292,1.13988108991829,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"5478","Tesla-K40","Fan2",0.00881547552471419,0.0101018156829446,1.14591840844254,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"23584","Tesla-K40","Fan2",0.0224376987467752,0.0257483287307874,1.14754766169985,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"2254","Tesla-K40","Fan2",0.00270331658803702,0.00318788205708528,1.17924850947632,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"30735","Tesla-K40","Fan2",0.0287841886043942,0.0327736318874362,1.13859842769488,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"18869","Tesla-K40","Fan2",0.0131832059246468,0.0150211268987839,1.13941381061954,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"27260","Tesla-K40","Fan2",0.0345718125012188,0.0409293204994635,1.18389281724875,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"27791","Tesla-K40","Fan2",0.0265169316322857,0.0309147981501897,1.16585125982485,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"19749","Tesla-K40","Fan2",0.0123287591136723,0.0137279924592552,1.1134934450971,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"14038","Tesla-K40","Fan2",0.00957733625721904,0.0103419277524047,1.07983341867206,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"32404","Tesla-K40","Fan2",0.0216283303088904,0.0244600449571445,1.13092617912767,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"22806","Tesla-K40","Fan2",0.0138446172419427,0.0154545590226761,1.11628647817406,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
