"","Gpus","Kernels","Measured","Predicted","Accuracy","threshCorr","numberFeatures"
"789","Tesla-K40","hotspotOpt1",1.54384826367299,1.52942866342767,0.990659962779618,"0.5","5"
"669","Tesla-K40","hotspotOpt1",1.63959832820439,1.65165117803484,1.00735109912173,"0.5","5"
"225","Tesla-K40","hotspotOpt1",1.63984978307437,1.65234337446572,1.00761874137515,"0.5","5"
"236","Tesla-K40","hotspotOpt1",1.54366854958516,1.54564964466853,1.00128336817117,"0.5","5"
"353","Tesla-K40","hotspotOpt1",1.43441342706602,1.42052989348021,0.990321107343358,"0.5","5"
"815","Tesla-K40","hotspotOpt1",1.54341567828363,1.54569624397095,1.00147760951207,"0.5","5"
"253","Tesla-K40","hotspotOpt1",1.63935112213713,1.65261275242095,1.00808956062233,"0.5","5"
"6301","Tesla-K40","hotspotOpt1",1.54165567458188,1.53318409311641,0.994504880950302,"0.5","5"
"890","Tesla-K40","hotspotOpt1",1.54356013170144,1.53317062082818,0.993269124629561,"0.5","5"
"105","Tesla-K40","hotspotOpt1",1.54406665391618,1.54713120527233,1.00198472737454,"0.5","5"
"201","Tesla-K40","hotspotOpt1",1.64210942356268,1.6523299918168,1.00622404823179,"0.5","5"
"858","Tesla-K40","hotspotOpt1",1.54356013170144,1.53317062082818,0.993269124629561,"0.5","5"
"240","Tesla-K40","hotspotOpt1",1.64255257067603,1.65087136650761,1.00506455378056,"0.5","5"
"931","Tesla-K40","hotspotOpt1",1.434257384832,1.42043745900179,0.990364403226115,"0.5","5"
"381","Tesla-K40","hotspotOpt1",1.43452948583467,1.41969879042385,0.989661630829299,"0.5","5"
"65","Tesla-K40","hotspotOpt1",1.54341455020769,1.54564726687055,1.00144660853596,"0.5","5"
"416","Tesla-K40","hotspotOpt1",1.64242584337449,1.65261555110133,1.00620405954274,"0.5","5"
"454","Tesla-K40","hotspotOpt1",1.63991026376495,1.65233707122993,1.00757773625763,"0.5","5"
"548","Tesla-K40","hotspotOpt1",1.54384939453088,1.54591435553688,1.00133754044488,"0.5","5"
"348","Tesla-K40","hotspotOpt1",1.4343156568037,1.41977451065313,0.989861962336115,"0.5","5"
"568","Tesla-K40","hotspotOpt1",1.54381321068022,1.54764976658827,1.00248511664592,"0.5","5"
"22","Tesla-K40","hotspotOpt1",1.63959832820439,1.65148145305204,1.00724758292519,"0.5","5"
"2341","Tesla-K40","hotspotOpt1",1.43454954562535,1.42043745900179,0.9901627053129,"0.5","5"
"598","Tesla-K40","hotspotOpt1",1.43429623067042,1.4203984496113,0.990310383056208,"0.5","5"
"537","Tesla-K40","hotspotOpt1",1.54119055856872,1.54562655062872,1.00287828914818,"0.5","5"
"319","Tesla-K40","hotspotOpt1",1.6393491770091,1.65148145305204,1.00740066619918,"0.5","5"
"808","Tesla-K40","hotspotOpt1",1.43408268452991,1.41977451065313,0.990022769236997,"0.5","5"
"653","Tesla-K40","hotspotOpt1",1.64236251390864,1.65236177800236,1.0060883416475,"0.5","5"
"396","Tesla-K40","hotspotOpt1",1.64287177293018,1.65148145305204,1.00524062818762,"0.5","5"
"155","Tesla-K40","hotspotOpt1",1.639288888695,1.6516547095796,1.00754340553997,"0.5","5"
"519","Tesla-K40","hotspotOpt1",1.64223790054397,1.65148145305204,1.00562863182308,"0.5","5"
"947","Tesla-K40","hotspotOpt1",1.63947370854038,1.65258836404994,1.00799930821778,"0.5","5"
"227","Tesla-K40","hotspotOpt1",1.54370470371889,1.54564726687055,1.00125837742606,"0.5","5"
"91","Tesla-K40","hotspotOpt1",1.54388445472808,1.54587545118541,1.00128960198494,"0.5","5"
"967","Tesla-K40","hotspotOpt1",1.54345178053001,1.54567663456364,1.00144147945643,"0.5","5"
"75","Tesla-K40","hotspotOpt1",1.54348789017975,1.54534711245526,1.00120455902981,"0.5","5"
"53","Tesla-K40","hotspotOpt1",1.63953795454093,1.65234337446572,1.0078103833396,"0.5","5"
"581","Tesla-K40","hotspotOpt1",1.43441342706602,1.42044367764544,0.990261002053532,"0.5","5"
"362","Tesla-K40","hotspotOpt1",1.43414150520683,1.42062221696125,0.990573253617935,"0.5","5"
"830","Tesla-K40","hotspotOpt1",1.54366854958516,1.54599098205702,1.00150448907733,"0.5","5"
"180","Tesla-K40","hotspotOpt1",1.54090673926759,1.54564726687055,1.00307645328698,"0.5","5"
"32","Tesla-K40","hotspotOpt1",1.6393491770091,1.65234337446572,1.00792643668527,"0.5","5"
"973","Tesla-K40","hotspotOpt1",1.64223592326488,1.65261555110133,1.00632042430043,"0.5","5"
"5771","Tesla-K40","hotspotOpt1",1.54341567828363,1.54564964466853,1.00144741719054,"0.5","5"
"8521","Tesla-K40","hotspotOpt1",1.54345178053001,1.54717659812303,1.00241330350582,"0.5","5"
"312","Tesla-K40","hotspotOpt1",1.43451003609856,1.42055616600992,0.990272727455721,"0.5","5"
"114","Tesla-K40","hotspotOpt1",1.63972303612595,1.65165117803484,1.00727448577967,"0.5","5"
"257","Tesla-K40","hotspotOpt1",1.43421915432777,1.41976108869015,0.989919207539526,"0.5","5"
"999","Tesla-K40","hotspotOpt1",1.43453009367354,1.42052989348021,0.990240567099237,"0.5","5"
"301","Tesla-K40","hotspotOpt1",1.54424790839511,1.53175153848555,0.991907795476603,"0.5","5"
"315","Tesla-K40","hotspotOpt1",1.5441028898892,1.54596162208874,1.00120376188123,"0.5","5"
"912","Tesla-K40","hotspotOpt1",1.639288888695,1.65257199611823,1.00810296922942,"0.5","5"
"588","Tesla-K40","hotspotOpt1",1.5411203959458,1.54713120527233,1.00390028536534,"0.5","5"
"845","Tesla-K40","hotspotOpt1",1.43414089870785,1.4203984496113,0.990417643685549,"0.5","5"
"960","Tesla-K40","hotspotOpt1",1.54381208005468,1.53741662343138,0.995857360681437,"0.5","5"
"505","Tesla-K40","hotspotOpt1",1.43414150520683,1.41977451065313,0.989982163892798,"0.5","5"
"997","Tesla-K40","hotspotOpt1",1.43429623067042,1.42044367764544,0.99034191631494,"0.5","5"
