"","Gpus","Kernels","Measured","Predicted","Accuracy","threshCorr","numberFeatures"
"631","GTX-680","needle_cuda_shared_2",1.1312560951192,1.10067782908681,0.97296963422843,"0.5","5"
"28","GTX-680","needle_cuda_shared_2",1.13053340836552,1.09020709503598,0.964329834898168,"0.5","5"
"324","GTX-680","needle_cuda_shared_2",1.14194106544585,1.11106893372253,0.972965214530349,"0.5","5"
"5","GTX-680","needle_cuda_shared_2",1.12223256900283,1.1065090850785,0.9859891039,"0.5","5"
"522","GTX-680","needle_cuda_shared_2",1.05253299742438,1.03183299586763,0.980333156673083,"0.5","5"
"714","GTX-680","needle_cuda_shared_2",1.14793964416485,1.11535181340863,0.971611895344961,"0.5","5"
"17","GTX-680","needle_cuda_shared_2",1.03450375586408,1.03248143386157,0.998045128409596,"0.5","5"
"122","GTX-680","needle_cuda_shared_2",1.06315811895903,1.09982001855895,1.03448395769748,"0.5","5"
"80","GTX-680","needle_cuda_shared_2",1.14153988456073,1.10224297374669,0.965575525353487,"0.5","5"
"54","GTX-680","needle_cuda_shared_2",1.04445435074853,1.04975782664397,1.00507774790888,"0.5","5"
"129","GTX-680","needle_cuda_shared_2",1.13253304336593,1.1000882607375,0.971352021189594,"0.5","5"
"756","GTX-680","needle_cuda_shared_2",1.09251928319874,1.10533459513906,1.01173005560395,"0.5","5"
"995","GTX-680","needle_cuda_shared_2",1.12458578473948,1.10732755637997,0.984653702195326,"0.5","5"
"862","GTX-680","needle_cuda_shared_2",1.05227871418425,1.02836785777917,0.977277069199657,"0.5","5"
"562","GTX-680","needle_cuda_shared_2",1.13995050280799,1.10191468582766,0.966633799549502,"0.5","5"
"935","GTX-680","needle_cuda_shared_2",1.05493686633213,1.03622676575519,0.982264246161015,"0.5","5"
"931","GTX-680","needle_cuda_shared_2",1.12526805778901,1.10734565163882,0.984072767349854,"0.5","5"
"941","GTX-680","needle_cuda_shared_2",1.13896936843715,1.10001949268814,0.965802525661904,"0.5","5"
"239","GTX-680","needle_cuda_shared_2",1.14751462254752,1.11027699063696,0.967549318170871,"0.5","5"
"376","GTX-680","needle_cuda_shared_2",1.12786731990434,1.09968588562206,0.975013519954926,"0.5","5"
"93","GTX-680","needle_cuda_shared_2",1.03407892112203,1.04358163649852,1.0091895455776,"0.5","5"
"405","GTX-680","needle_cuda_shared_2",1.11993156840756,1.11090980802555,0.991944364605379,"0.5","5"
"746","GTX-680","needle_cuda_shared_2",1.12928069959353,1.0916894459334,0.966712214532969,"0.5","5"
"75","GTX-680","needle_cuda_shared_2",1.11688826514539,1.10681477275263,0.99098075187365,"0.5","5"
"515","GTX-680","needle_cuda_shared_2",1.14562329116941,1.10132220275613,0.961330143377184,"0.5","5"
"658","GTX-680","needle_cuda_shared_2",1.10768074812876,1.09148607965228,0.985379660607235,"0.5","5"
"992","GTX-680","needle_cuda_shared_2",1.04821132504854,1.03647020782694,0.988798902529456,"0.5","5"
"716","GTX-680","needle_cuda_shared_2",1.14114024965589,1.0975510873441,0.961802098975184,"0.5","5"
"326","GTX-680","needle_cuda_shared_2",1.12681978443724,1.08910000255194,0.96652545295507,"0.5","5"
"83","GTX-680","needle_cuda_shared_2",1.14094100823154,1.10087524945768,0.964883584265273,"0.5","5"
"272","GTX-680","needle_cuda_shared_2",1.11673053868232,1.10504220561212,0.989533434731719,"0.5","5"
"750","GTX-680","needle_cuda_shared_2",1.11001324763974,1.11036934675509,1.00032080618507,"0.5","5"
"389","GTX-680","needle_cuda_shared_2",1.14438129872632,1.10098231433304,0.962076464862204,"0.5","5"
"279","GTX-680","needle_cuda_shared_2",1.05126777071664,1.05054985411728,0.999317094446002,"0.5","5"
"900","GTX-680","needle_cuda_shared_2",1.12999467920869,1.09182754657949,0.96622361739267,"0.5","5"
"337","GTX-680","needle_cuda_shared_2",1.14793964416485,1.11877155649279,0.97459092224898,"0.5","5"
"360","GTX-680","needle_cuda_shared_2",1.13551221065714,1.10496216276183,0.973095799755755,"0.5","5"
"697","GTX-680","needle_cuda_shared_2",1.14793964416485,1.12035989529052,0.975974565374993,"0.5","5"
"224","GTX-680","needle_cuda_shared_2",1.14376583621086,1.11978508113758,0.979033509907308,"0.5","5"
"456","GTX-680","needle_cuda_shared_2",1.05244816704789,1.0291427354097,0.977855981541051,"0.5","5"
"961","GTX-680","needle_cuda_shared_2",1.13896936843715,1.10139294001896,0.967008394203129,"0.5","5"
"217","GTX-680","needle_cuda_shared_2",1.13345487280872,1.08960296258428,0.961311287042441,"0.5","5"
"109","GTX-680","needle_cuda_shared_2",1.1473027631695,1.11490720611308,0.971763724366068,"0.5","5"
"748","GTX-680","needle_cuda_shared_2",1.0428187120973,1.0440285249301,1.0011601372499,"0.5","5"
"211","Tesla-K40","needle_cuda_shared_2",1.11976914843783,1.09541858191754,0.97825394050705,"0.5","5"
"500","Tesla-K40","needle_cuda_shared_2",1.09005683298995,1.04457280263198,0.958273707405496,"0.5","5"
"731","Tesla-K40","needle_cuda_shared_2",1.12009424315382,1.10145160777949,0.983356190348914,"0.5","5"
"435","Tesla-K40","needle_cuda_shared_2",1.12647294421603,1.1100888535472,0.985455406849349,"0.5","5"
"945","Tesla-K40","needle_cuda_shared_2",1.12206650791135,1.11542068338291,0.994077156316863,"0.5","5"
"401","Tesla-K40","needle_cuda_shared_2",1.11256015025678,1.08596993847578,0.976099978257483,"0.5","5"
"113","Tesla-K40","needle_cuda_shared_2",1.12509706825402,1.11696191275305,0.99276937454508,"0.5","5"
"783","Tesla-K40","needle_cuda_shared_2",1.12543932971807,1.12250478430993,0.997392533448362,"0.5","5"
"9411","Tesla-K40","needle_cuda_shared_2",1.12543932971807,1.1278326299472,1.00212654753209,"0.5","5"
"349","Tesla-K40","needle_cuda_shared_2",1.12839508251651,1.12404093720905,0.996141293616994,"0.5","5"
"887","Tesla-K40","needle_cuda_shared_2",1.11736288899202,1.09779198247548,0.982484735523842,"0.5","5"
"601","Tesla-K40","needle_cuda_shared_2",1.11673053868232,1.1038520803483,0.988467711871463,"0.5","5"
"703","Tesla-K40","needle_cuda_shared_2",1.11061046639264,1.08697698557144,0.978720279039003,"0.5","5"
"451","Tesla-K40","needle_cuda_shared_2",1.12407700957606,1.12571955749182,1.00146124144678,"0.5","5"
"906","Tesla-K40","needle_cuda_shared_2",1.12596023274003,1.12070784797577,0.995335195141416,"0.5","5"
"297","Tesla-K40","needle_cuda_shared_2",1.12390797102279,1.11812350760248,0.994853258834843,"0.5","5"
"320","Tesla-K40","needle_cuda_shared_2",1.10525395163622,1.07019034012217,0.968275515810515,"0.5","5"
"6581","Tesla-K40","needle_cuda_shared_2",1.11896084247925,1.11484072076193,0.996317903575437,"0.5","5"
"234","Tesla-K40","needle_cuda_shared_2",1.09390510098169,1.06367151466671,0.972361783222461,"0.5","5"
"481","Tesla-K40","needle_cuda_shared_2",1.12945873419429,1.1185652911492,0.990355165075718,"0.5","5"
"717","Tesla-K40","needle_cuda_shared_2",1.12357071827199,1.12565402955329,1.00185418794511,"0.5","5"
"447","Tesla-K40","needle_cuda_shared_2",1.12839508251651,1.10701397158189,0.981051751052529,"0.5","5"
"566","Tesla-K40","needle_cuda_shared_2",1.12543932971807,1.12362839558599,0.998390909146095,"0.5","5"
"30","Tesla-K40","needle_cuda_shared_2",1.12509706825402,1.11557041964869,0.991532598498262,"0.5","5"
"383","Tesla-K40","needle_cuda_shared_2",1.12424632411077,1.12500687804436,1.00067650115217,"0.5","5"
